Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,1e-05,30,1e-06,0.8,4.28749507349979e-16,4.87792032908999e-06,1,0,0,1,0.4660037,none,
2,1e-05,30,1.05538610303652e-06,0.8,6.72968498397446e-16,7.65642097050966e-06,1,0,0,1,0.456335,none,
3,1e-05,30,1.11383982648262e-06,0.8,6.06369113873423e-16,6.89871399684443e-06,1,0,0,1,0.4571163,none,
4,1e-05,30,1.17553107387837e-06,0.8,NaN,NaN,0,0,0,0,0.4582245,none,
5,1e-05,30,1.24063915905883e-06,0.8,NaN,NaN,0,0,0,0,0.23807,none,
6,1e-05,30,1.30935332735361e-06,0.8,3.54193813082892e-16,4.02969372945456e-06,1,0,0,1,0.2515694,none,
7,1e-05,30,1.38187330565363e-06,0.8,4.38865083879259e-16,4.99300612055276e-06,1,0,0,1,0.4544115,none,
8,1e-05,30,1.45840988294399e-06,0.8,NaN,NaN,0,0,0,0,0.4572647,none,
9,1e-05,30,1.53918552299021e-06,0.8,5.5141107196626e-16,6.2734515877448e-06,1,0,0,1,0.4596527,none,
10,1e-05,30,1.62443501095887e-06,0.8,NaN,NaN,0,0,0,0,0.2545412,none,
11,1e-05,30,1.71440613585197e-06,0.8,4.80821732021071e-16,5.47035054521785e-06,1,0,0,1,0.2589428,none,
12,1e-05,30,1.80936041073872e-06,0.8,NaN,NaN,0,0,0,0,0.2636965,none,
13,1e-05,30,1.9095738328781e-06,0.8,5.74603346609593e-16,6.53731210774816e-06,1,0,0,1,0.4600098,none,
14,1e-05,30,2.01533768594174e-06,0.8,NaN,NaN,0,0,0,0,0.2738514,none,
15,1e-05,30,2.12695938666869e-06,0.8,5.0502545822958e-16,5.74571843739794e-06,1,0,0,1,0.2763009,none,
16,1e-05,30,2.24476337841322e-06,0.8,NaN,NaN,0,0,0,0,0.2797789,none,
17,1e-05,30,2.36909207418263e-06,0.8,NaN,NaN,0,0,0,0,0.2826508,none,
18,1e-05,30,2.50030685190633e-06,0.8,NaN,NaN,0,0,0,0,0.2848216,none,
19,1e-05,30,2.63878910482893e-06,0.8,5.03284530581531e-16,5.72591175256143e-06,1,0,0,1,0.2864819,none,
20,1e-05,30,2.78494135008064e-06,0.8,6.8279548861251e-16,7.76822349044749e-06,1,0,0,1,0.2878883,none,
21,1e-05,30,2.93918839864688e-06,0.8,2.75447726798632e-16,3.13379267642146e-06,1,0,0,1,0.4565298,none,
22,1e-05,30,3.1019785901381e-06,0.8,4.55747782261308e-16,5.18508204422366e-06,1,0,0,1,0.2882873,none,
23,1e-05,30,3.27378509594858e-06,0.8,NaN,NaN,0,0,0,0,0.2896667,none,
24,1e-05,30,3.45510729459222e-06,0.8,3.16991991676459e-16,3.60644538092762e-06,1,0,0,1,0.2908219,none,
25,1e-05,30,3.64647222321274e-06,0.8,NaN,NaN,0,0,0,0,0.4538088,none,
26,1e-05,30,3.84843610948743e-06,0.8,NaN,NaN,0,0,0,0,0.2901815,none,
27,1e-05,30,4.06158598837698e-06,0.8,NaN,NaN,0,0,0,0,0.1747146,none,
28,1e-05,30,4.28654140842093e-06,0.8,5.25964242191517e-16,5.98394079848157e-06,1,0,0,1,0.1764057,none,
29,1e-05,30,4.52395623253806e-06,0.8,3.80324556760283e-16,4.3269854665017e-06,1,0,0,1,0.1781288,none,
30,1e-05,30,4.77452053856613e-06,0.8,NaN,NaN,0,0,0,0,0.1797921,none,
