Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,0.01,0.3,1e-14,1,2.15361825064847e-05,0.00651392893479846,1,1,1,1,0.2890239,none,
2,0.01,0.3,1.12245056808531e-14,1,2.23812672951982e-05,0.00676953815510045,1,1,1,1,0.2808642,none,
3,0.01,0.3,1.25989527779503e-14,1,2.32594998522628e-05,0.00703517353189849,1,1,1,1,0.2810179,none,
4,0.01,0.3,1.41417017028902e-14,1,2.41721792888169e-05,0.00728985107095054,1,1,1,1,0.2793749,none,
5,0.01,0.3,1.58733611101021e-14,1,2.51206555436046e-05,0.00757589417693314,1,1,1,1,0.2691925,none,
6,0.01,0.3,1.78170631954573e-14,1,2.61063313646965e-05,0.00787315610686212,1,1,1,1,0.2713194,none,
7,0.01,0.3,1.99987727053529e-14,1,2.71306643679245e-05,0.00818207646468802,1,1,1,1,0.2711957,none,
8,0.01,0.3,2.24476337841322e-14,1,2.81951691749581e-05,0.00850311204754755,1,1,1,1,0.2709568,none,
9,0.01,0.3,2.51963592931701e-14,1,2.9301419634055e-05,0.00883673751560948,1,1,1,1,0.2709077,none,
10,0.01,0.3,2.82816678023003e-14,1,3.04510511266315e-05,0.00918344608781125,1,1,1,1,0.2707353,none,
11,0.01,0.3,3.17447740910919e-14,1,3.16457629629153e-05,0.00954375026447058,1,1,1,1,0.2706086,none,
12,0.01,0.3,3.56319397122859e-14,1,3.28873208700604e-05,0.00991818257779246,1,1,1,1,0.2705094,none,
13,0.01,0.3,3.99950909720367e-14,1,3.41775595762284e-05,0.0103072963713292,1,1,1,1,0.2703255,none,
14,0.01,0.3,4.48925125821861e-14,1,3.551838549427e-05,0.0107116666094899,1,1,1,1,0.2699783,none,
15,0.01,0.3,5.03896262506515e-14,1,3.6911779508769e-05,0.0111318907182355,1,1,1,1,0.2696285,none,
16,0.01,0.3,5.655986461065e-14,1,3.83597998703492e-05,0.0115685894581366,1,1,1,1,0.2692306,none,
17,0.01,0.3,6.34856521630521e-14,1,3.98645852012869e-05,0.012022407831014,1,1,1,1,0.2683462,none,
18,0.01,0.3,7.1259506335684e-14,1,4.1428357616614e-05,0.0124940160214258,1,1,1,1,0.2673849,none,
19,0.01,0.3,7.99852733679672e-14,1,4.30534259650479e-05,0.0129841103743102,1,1,1,1,0.2664376,none,
20,0.01,0.3,8.97795155303333e-14,1,4.47421891942408e-05,0.0134934144101395,1,1,1,1,0.265164,none,
21,0.01,0.3,1.00773068209446e-13,1,4.64971398449978e-05,0.0140226798789899,1,1,1,1,0.2637289,none,
22,0.01,0.3,1.13112787659392e-13,1,4.83208676792789e-05,0.0145516420170405,1,1,1,1,0.2627368,none,
23,0.01,0.3,1.26963512765997e-13,1,5.0216063446972e-05,0.0151223785842055,1,1,1,1,0.2615914,none,
24,0.01,0.3,1.425102670303e-13,1,5.21855227965934e-05,0.0157154800213199,1,1,1,1,0.2610089,none,
25,0.01,0.3,1.59960730186149e-13,1,5.4232150335259e-05,0.0163318211026617,1,1,1,1,0.2601794,none,
26,0.01,0.3,1.79548012468783e-13,1,5.63589638434485e-05,0.0169723106896085,1,1,1,1,0.2594023,none,
27,0.01,0.3,2.01533768594174e-13,1,5.85690986502817e-05,0.0176378930486761,1,1,1,1,0.0194565,none,
28,0.01,0.3,2.26211693046903e-13,1,6.0865812175216e-05,0.0183295492197109,1,1,1,1,0.0197256,none,
