Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,0.001,0.3,1e-14,1,2.14636408136102e-05,0.0644312111096077,1,1,1,1,0.1482054,none,
2,0.001,0.3,1.12245056808531e-14,1,2.23029495423071e-05,0.0669507239678156,1,1,1,1,0.1429659,none,
3,0.001,0.3,1.25989527779503e-14,1,2.31749474320767e-05,0.0695683670020894,1,1,1,1,0.1426946,none,
4,0.001,0.3,1.41417017028902e-14,1,2.408089734018e-05,0.0722684679696303,1,1,1,1,0.1425738,none,
5,0.001,0.3,1.58733611101021e-14,1,2.50221101047618e-05,0.0750931278575493,1,1,1,1,0.1387858,none,
6,0.001,0.3,1.78170631954573e-14,1,2.59999463053674e-05,0.078027698930514,1,1,1,1,0.1419006,none,
7,0.001,0.3,1.99987727053529e-14,1,2.70158180832645e-05,0.0810764192781567,1,1,1,1,0.1420682,none,
8,0.001,0.3,2.24476337841322e-14,1,2.80711910232398e-05,0.084243687390866,1,1,1,1,0.1422156,none,
9,0.001,0.3,2.51963592931701e-14,1,2.91675860985545e-05,0.087534067997785,1,1,1,1,0.1422821,none,
10,0.001,0.3,2.82816678023003e-14,1,3.03065816807623e-05,0.0909522980995445,1,1,1,1,0.1423282,none,
11,0.001,0.3,3.17447740910919e-14,1,3.14898156161037e-05,0.0945032932008892,1,1,1,1,0.1423716,none,
12,0.001,0.3,3.56319397122859e-14,1,3.27189873702059e-05,0.0981921537483847,1,1,1,1,0.1423582,none,
13,0.001,0.3,3.99950909720367e-14,1,3.39958602428219e-05,0.102024171778423,1,1,1,1,0.1423382,none,
14,0.001,0.3,4.48925125821861e-14,1,3.53222636543515e-05,0.106004837780758,1,1,1,1,0.1424012,none,
15,0.001,0.3,5.03896262506515e-14,1,3.67000955058849e-05,0.110139847782805,1,1,1,1,0.1423892,none,
16,0.001,0.3,5.655986461065e-14,1,3.81313246145115e-05,0.114435110659951,1,1,1,1,0.1423184,none,
17,0.001,0.3,6.34856521630521e-14,1,3.96179932256283e-05,0.118896755677071,1,1,1,1,0.1422475,none,
18,0.001,0.3,7.1259506335684e-14,1,4.11622196039733e-05,0.123531140266461,1,1,1,1,0.1421772,none,
19,0.001,0.3,7.99852733679672e-14,1,4.27662007050965e-05,0.128344858047323,1,1,1,1,0.142015,none,
20,0.001,0.3,8.97795155303333e-14,1,4.44322149289582e-05,0.133344747091893,1,1,1,1,0.141411,none,
21,0.001,0.3,1.00773068209446e-13,1,4.61626249573257e-05,0.138537898443229,1,1,1,1,0.1406746,none,
22,0.001,0.3,1.13112787659392e-13,1,4.79598806766062e-05,0.143931664889606,1,1,1,1,0.1400456,none,
23,0.001,0.3,1.26963512765997e-13,1,4.98265221877202e-05,0.149533670000326,1,1,1,1,0.1394946,none,
24,0.001,0.3,1.425102670303e-13,1,5.17651829045809e-05,0.155333328851778,1,1,1,1,0.1388438,none,
25,0.001,0.3,1.59960730186149e-13,1,5.37785927426968e-05,0.161375092779769,1,1,1,1,0.1380594,none,
26,0.001,0.3,1.79548012468783e-13,1,5.58695813993645e-05,0.167649657434302,1,1,1,1,0.1375162,none,
27,0.001,0.3,2.01533768594174e-13,1,5.80410817268586e-05,0.174165824209722,1,1,1,1,0.0256953,none,
28,0.001,0.3,2.26211693046903e-13,1,6.02961331999622e-05,0.180932714503459,1,1,1,1,0.0262677,none,
29,0.001,0.3,2.53911443368035e-13,1,6.26378854791107e-05,0.187959780412599,1,1,1,1,0.0277717,none,
30,0.001,0.3,2.85003043851811e-13,1,6.50696020703426e-05,0.195256815721289,1,1,1,1,0.0282483,none,
31,0.001,0.3,3.19901828477506e-13,1,6.75946640831714e-05,0.202833967182346,1,1,1,1,0.0287152,none,
32,0.001,0.3,3.59073989106106e-13,1,7.02165740873982e-05,0.210701746096147,1,1,1,1,0.0291683,none,
33,0.001,0.3,4.03042803056806e-13,1,7.29389600697946e-05,0.218871040189633,1,1,1,1,0.0296067,none,
34,0.001,0.3,4.52395623253806e-13,1,7.57655794914829e-05,0.227353125797919,1,1,1,1,0.030027,none,
35,0.001,0.3,5.0779172432054e-13,1,7.87003234467344e-05,0.236159680350725,1,1,1,1,0.0303661,none,
36,0.001,0.3,5.69971109432608e-13,1,8.17472209237989e-05,0.24530279516548,1,1,1,1,0.030606,none,
37,0.001,0.3,6.39764395574842e-13,1,8.49104431682676e-05,0.254794988548668,1,1,1,1,0.0309047,none,
38,0.001,0.3,7.18103909253734e-13,1,8.81943081493517e-05,0.26464921920657,1,1,1,1,0.0313154,none,
39,0.001,0.3,8.06036140886136e-13,1,9.16032851293495e-05,0.274878899966295,1,1,1,1,0.0314835,none,
40,0.001,0.3,9.04735724234931e-13,1,9.51419993364527e-05,0.285497911807569,1,1,1,1,0.0316765,none,
41,0.001,0.3,1.01552112763457e-12,1,9.88152367409368e-05,0.296520618205474,1,1,1,1,0.0318443,none,
42,0.001,0.3,1.13987226661605e-12,1,0.000102627948934663,0.307961879783974,1,1,1,1,0.0315114,none,
43,0.001,0.3,1.27945027320787e-12,1,0.000106585258113719,0.31983706927975,1,1,1,1,0.0307649,none,
44,0.001,0.3,1.43611968599908e-12,1,0.000110692462163942,0.332162086815629,1,1,1,1,0.0301449,none,
45,0.001,0.3,1.61197335738816e-12,1,0.000114955039848958,0.344953375482592,1,1,1,1,0.0290984,none,
46,0.001,0.3,1.80936041073872e-12,1,0.000119378656100342,0.358210575941641,1,1,1,1,0.0283258,none,
47,0.001,0.3,2.03091762090473e-12,1,0.000123969167409414,0.371985320148861,1,1,1,1,0.0278454,none,
48,0.001,0.3,2.27960463731898e-12,1,0.000128732627320211,0.386279057837849,1,1,1,1,0.0271592,none,
49,0.001,0.3,2.55874352016859e-12,1,0.000133675292023109,0.401110565010182,1,1,1,1,0.0264207,none,
50,0.001,0.3,2.87206311779783e-12,1,0.000138803626048689,0.416499243099379,1,1,1,1,0.0256746,none,
51,0.001,0.3,3.22374887814903e-12,1,0.000144124308061438,0.432465136376569,1,1,1,1,0.0249034,none,
52,0.001,0.3,3.61849875964274e-12,1,0.000149644236753049,0.449028029535028,1,1,1,1,0.0241709,none,
53,0.001,0.3,4.06158598837699e-12,1,0.000155370536835235,0.466211110971144,1,1,1,1,0.0314875,none,
54,0.001,0.3,4.55892949998105e-12,1,0.000161310565132197,0.484035574680852,1,1,1,1,0.0345347,none,
55,0.001,0.3,5.11717300711461e-12,1,0.000167471916773205,0.502524216303705,1,1,1,1,0.0351266,none,
56,0.001,0.3,5.74377374882659e-12,1,0.000173862431486116,0.52170056585683,1,1,1,1,0.0356849,none,
57,0.001,0.3,6.44710210732387e-12,1,0.000180490199993102,0.54158890695727,1,1,1,1,0.0362579,none,
58,0.001,0.3,7.23655342286965e-12,1,0.000187363570510452,0.562213381964394,1,1,1,1,0.0369793,none,
59,0.001,0.3,8.1226735004797e-12,1,0.000194491155354936,0.583601634629073,1,1,1,1,0.0374224,none,
60,0.001,0.3,9.11729948498494e-12,1,0.000201881837660024,0.605779446994356,1,1,1,1,0.0374887,none,
61,0.001,0.3,1.02337179863252e-11,1,0.000209544778206166,0.628774315671886,1,1,1,1,0.0372741,none,
62,0.001,0.3,1.14868425673755e-11,1,0.000217489422370372,0.652613901636743,1,1,1,1,0.0368481,none,
63,0.001,0.3,1.28934129652572e-11,1,0.000225725507201549,0.67732878637404,1,1,1,1,0.0363418,none,
64,0.001,0.3,1.44722187074113e-11,1,0.000234263068629422,0.702947522073265,1,1,1,1,0.036338,none,
65,0.001,0.3,1.62443501095887e-11,1,0.000243112448816418,0.729502933666833,1,1,1,1,0.0349147,none,
66,0.001,0.3,1.82334800086844e-11,1,0.000252284303663639,0.757026133358589,1,1,1,1,0.0344249,none,
67,0.001,0.3,2.04661799939199e-11,1,0.000261789610483984,0.785550073057647,1,1,1,1,0.0352589,none,
68,0.001,0.3,2.29722753607116e-11,1,0.000271639675857678,0.81510869365116,1,1,1,1,0.0357817,none,
69,0.001,0.3,2.57852435288428e-11,1,0.00028184614368784,0.845722388611347,1,1,1,1,0.0359291,none,
70,0.001,0.3,2.89426612471675e-11,1,0.000292421003476386,0.877454826022008,1,1,1,1,0.0354642,none,
71,0.001,0.3,3.24867065587837e-11,1,0.000303376598843429,0.910330792329175,1,1,1,1,0.034993,none,
