Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
49,0.001,1,1.76803817845721e-12,1,0.000120919742294072,0.362834909430839,1,1,1,1,0.0237678,none,
50,0.001,1,1.96931133790742e-12,1,0.000125344359005875,0.376111861571617,1,1,1,1,0.0238774,none,
51,0.001,1,2.19349739890506e-12,1,0.000129930878420042,0.389874660118521,1,1,1,1,0.0238227,none,
52,0.001,1,2.44320476218649e-12,1,0.000134685224775152,0.404141084695501,1,1,1,1,0.0239021,none,
53,0.001,1,2.72133876837531e-12,1,0.000139613539085679,0.418929565644664,1,1,1,1,0.0215098,none,
54,0.001,1,3.03113550156758e-12,1,0.000144722187074114,0.434258317991209,1,1,1,1,0.0215258,none,
55,0.001,1,3.37619944111133e-12,1,0.000150017767393328,0.45014889299843,1,1,1,1,0.02143,none,
56,0.001,1,3.76054539965818e-12,1,0.000155507120149818,0.466620961124703,1,1,1,1,0.021535,none,
57,0.001,1,4.18864523543527e-12,1,0.000161197335738816,0.483695802635461,1,1,1,1,0.1518535,none,
58,0.001,1,4.66547988223447e-12,1,0.000167095764002694,0.50139547666705,1,1,1,1,0.0214891,none,
59,0.001,1,5.19659730248621e-12,1,0.000173210023724485,0.519742849741369,1,1,1,1,0.0224594,none,
60,0.001,1,5.78817703770128e-12,1,0.000179548012468783,0.53876162532499,1,1,1,1,0.1512632,none,
61,0.001,1,6.44710210732387e-12,1,0.000186117916782741,0.558475466156281,1,1,1,1,0.0227967,none,
62,0.001,1,7.18103909253734e-12,1,0.00019292822277033,0.578911626030916,1,1,1,1,0.0236208,none,
63,0.001,1,7.99852733679669e-12,1,0.000199987727053529,0.600095631339041,1,1,1,1,0.1503213,none,
64,0.001,1,8.90907830093414e-12,1,0.000207305548134595,0.622054851132826,1,1,1,1,0.1500022,none,
65,0.001,1,9.92328622883255e-12,1,0.000214891138174105,0.644817656261282,1,1,1,1,0.1494299,none,
66,0.001,1,1.10529514112602e-11,1,0.000222754295199956,0.668412749088735,1,1,1,1,0.1489882,none,
67,0.001,1,1.23112174820389e-11,1,0.000230905175763122,0.69287110907543,1,1,1,1,0.0201129,none,
68,0.001,1,1.3712724343984e-11,1,0.000239354308056498,0.718225412058026,1,1,1,1,0.1476102,none,
69,0.001,1,1.52737785039071e-11,1,0.000248112605513777,0.744507553647201,1,1,1,1,0.1472147,none,
70,0.001,1,1.70125427985259e-11,1,0.000257191380905934,0.771751491449078,1,1,1,1,0.1465946,none,
71,0.001,1,1.89492477187382e-11,1,0.000266602360953517,0.799992426126661,1,1,1,1,0.1464902,none,
72,0.001,1,2.11064267910155e-11,1,0.000276357701473616,0.829266846922398,1,1,1,1,0.1464219,none,
73,0.001,1,2.35091787545728e-11,1,0.000286470003081091,0.859597779324504,1,1,1,1,0.1464433,none,
74,0.001,1,2.61854595847424e-11,1,0.000296952327464322,0.891052577530276,1,1,1,1,0.1463473,none,
75,0.001,1,2.91664077602371e-11,1,0.000307818214256508,0.923659401433574,1,1,1,1,0.1461746,none,
76,0.001,1,3.24867065587837e-11,1,0.000319081698524318,0.957459502603076,1,1,1,1,0.1456288,none,
77,0.001,1,3.61849875964274e-11,1,0.00033075732889647,0.992496555810548,1,1,1,1,0.145481,none,
78,0.001,1,4.03042803056804e-11,1,0.000342860186355658,1.02881583477731,1,1,1,1,0.1454318,none,
79,0.001,1,4.48925125821861e-11,1,0.000355405903718106,1.06646427074387,1,1,1,1,0.0183513,none,
80,0.001,1,5.00030684249109e-11,1,0.000368410685825899,1.10548961416116,1,1,1,1,0.0174066,none,
81,0.001,1,5.56954090580015e-11,1,0.000381891330478186,1.14594406083962,1,1,1,1,0.0168673,none,
82,0.001,1,6.20357647610428e-11,1,0.000395865250128274,1.18787902053981,1,1,1,1,0.0164376,none,
83,0.001,1,6.90979054571564e-11,1,0.000410350494374663,1.23134868438815,1,1,1,1,0.0165052,none,
84,0.001,1,7.69639990247115e-11,1,0.000425365773275039,1.27640922771621,1,1,1,1,0.0164901,none,
85,0.001,1,8.57255673190931e-11,1,0.000440930481513375,1.32311888276087,1,1,1,1,0.0165756,none,
86,0.001,1,9.5484551027823e-11,1,0.000457064723451332,1.37153801403162,1,1,1,1,0.0166478,none,
87,0.001,1,1.06354495748601e-10,1,0.000473789339096315,1.42172827875833,1,1,1,1,0.0167042,none,
88,0.001,1,1.18461873090269e-10,1,0.000491125931019757,1.47375634504804,1,1,1,1,0.0163995,none,
89,0.001,1,1.31947552167671e-10,1,0.000509096892260358,1.52768856926846,1,1,1,1,0.0170021,none,
90,0.001,1,1.46968438611245e-10,1,0.000527725435248354,1.58359465550606,1,1,1,1,0.0176461,none,
91,0.001,1,1.6369930016117e-10,1,0.00054703562178816,1.64154686052916,1,1,1,1,0.0182031,none,
92,0.001,1,1.82334800086844e-10,1,0.000567052394138117,1.7016200873517,1,1,1,1,0.1552166,none,
93,0.001,1,2.03091762090473e-10,1,0.000587801607227491,1.76389107856564,1,1,1,1,0.0179848,none,
94,0.001,1,2.26211693046903e-10,1,0.000609310062052337,1.82844209849748,1,1,1,1,0.0182185,none,
95,0.001,1,2.51963592931701e-10,1,0.000631605540293355,1.89535571346621,1,1,1,1,0.0183364,none,
96,0.001,1,2.80647084630984e-10,1,0.000654716840200475,1.96471841769624,1,1,1,1,0.0187462,none,
97,0.001,1,3.12595900048228e-10,1,0.000678673813790489,2.0366198736087,1,1,1,1,0.0192532,none,
98,0.001,1,3.48181763068897e-10,1,0.000703507405405811,2.11115302799283,1,1,1,1,0.0192174,none,
99,0.001,1,3.87818714561072e-10,1,0.000729249691684145,2.18841334257786,1,1,1,1,0.0188306,none,
100,0.001,1,4.31967929733416e-10,1,0.000755933922990695,2.26850244580608,1,1,1,1,0.0188934,none,
101,0.001,1,4.81143083900326e-10,1,0.000783594566366447,2.35151148606456,1,1,1,1,0.0189085,none,
102,0.001,1,5.35916329084851e-10,1,0.000812267350047972,2.43757044200072,1,1,1,1,0.0189093,none,
103,0.001,1,5.96924950997075e-10,1,0.000841989309616283,2.52677945295877,1,1,1,1,0.01892,none,
104,0.001,1,6.64878783841728e-10,1,0.000872798835834327,2.61925386134909,1,1,1,1,0.0189591,none,
105,0.001,1,7.40568469226244e-10,1,0.00090473572423493,2.71511323590517,1,1,1,1,0.0190315,none,
106,0.001,1,8.24874655261458e-10,1,0.00093784122652322,2.81448061840177,1,1,1,1,0.0189899,none,
107,0.001,1,9.18778242886332e-10,1,0.000972158103859938,2.91748628463561,1,1,1,1,0.01902,none,
108,0.001,1,1.02337179863252e-09,1,0.00100773068209446,3.0242625594876,1,1,1,1,0.0190846,none,
109,0.001,1,1.13987226661605e-09,1,0.00104460490901887,3.13494752585585,1,1,1,1,0.0188183,none,
110,0.001,1,1.26963512765997e-09,1,0.00108282841371703,3.249684327572,1,1,1,1,0.0187897,none,
111,0.001,1,1.41417017028903e-09,1,0.00112245056808531,3.36862135520619,1,1,1,1,0.0187396,none,
112,0.001,1,1.57515905709162e-09,1,0.00116352255060447,3.49191154420768,1,1,1,1,0.0185908,none,
113,0.001,1,1.75447489083346e-09,1,0.00120609741244502,3.61971611994986,1,1,1,1,0.018562,none,
114,0.001,1,1.95420400797405e-09,1,0.00125023014599146,3.7521995348103,1,1,1,1,0.0182774,none,
115,0.001,1,2.17667025315345e-09,1,0.0012959777558739,3.88953316508521,1,1,1,1,0.0168155,none,
116,0.001,1,2.42446201708233e-09,1,0.0013433993325989,4.03189467073126,1,1,1,1,0.0165833,none,
117,0.001,1,2.70046235242068e-09,1,0.00139255612887446,4.17946822624583,1,1,1,1,0.0171699,none,
118,0.001,1,3.00788251804311e-09,1,0.00144351163872792,4.33244476006655,1,1,1,1,0.0176617,none,
119,0.001,1,3.35029934197724e-09,1,0.00149633167951883,4.49102128968115,1,1,1,1,0.0180195,none,
120,0.001,1,3.73169683773276e-09,1,0.00155108447695284,4.65540479810747,1,1,1,1,0.0183571,none,
121,0.001,1,4.15651255822599e-09,1,0.00160784075320635,4.82580712109784,1,1,1,1,0.1610634,none,
122,0.001,1,4.62968922662726e-09,1,0.0016666738182757,5.0024487785396,1,1,1,1,0.0181373,none,
123,0.001,1,5.15673224485495e-09,1,0.00172765966466904,5.18555838057263,1,1,1,1,0.0183915,none,
124,0.001,1,5.74377374882659e-09,1,0.00179087706556304,5.37537292519943,1,1,1,1,0.1610884,none,
125,0.001,1,6.39764395574842e-09,1,0.00185640767655133,5.57213720767036,1,1,1,1,0.0180466,none,
126,0.001,1,7.12595063356843e-09,1,0.00192433614111598,5.77610770453057,1,1,1,1,0.0183557,none,
127,0.001,1,7.93716761721756e-09,1,0.00199475019995844,5.98754760766297,1,1,1,1,0.0186576,none,
