accuracy,precision_pos,recall_pos,f1_pos,precision_neg,recall_neg,f1_neg,precision_macro,recall_macro,f1_macro,auroc,avg_precision,auroc_macro,avg_precision_macro,tp,fp,tn,fn,epoch,train_loss,val_loss
0.8845942297114856,0.8015304620818209,0.9662921348314607,0.8762333762333763,0.9709361615337548,0.8247574497574498,0.8918969555035129,0.8862333118077879,0.8955247922944553,0.8840651658684446,0.964365743512698,0.943741996800993,0.964365743512698,0.9605362409837491,8170,2023,9521,285,1,0.5687253295957293,0.3113807539664836
0.9145957297864893,0.8521766363921077,0.9654642223536369,0.9052900077631141,0.9719769673704415,0.8773388773388774,0.9222363868147878,0.9120768018812746,0.9214015498462571,0.913763197288951,0.9750144153160121,0.9584005006699325,0.9750144153160121,0.9713270939441173,8163,1416,10128,292,2,0.3800714977577974,0.24962975331278678
0.9266963348167409,0.8729057731298687,0.9674748669426375,0.9177605744418266,0.9741249529544599,0.8968295218295218,0.9338805700883998,0.9235153630421643,0.9321521943860797,0.9258205722651132,0.9797338688823019,0.965428094536013,0.9797338688823017,0.9763597564757822,8180,1191,10353,275,3,0.3213216565428901,0.21816964501433836
0.9311965598279914,0.8794896536935778,0.9701951507983442,0.9226183781351929,0.9763868065967016,0.9026334026334026,0.9380626575441123,0.9279382301451398,0.9364142767158734,0.9303405178396527,0.9821805639738815,0.9702696732391609,0.9821805639738815,0.9795257034643569,8203,1124,10420,252,4,0.2860672947044592,0.19858355105416836
0.935896794839742,0.8876878175332397,0.9712596096984033,0.927595165480628,0.9773911425381466,0.909996534996535,0.9424905795801184,0.9325394800356932,0.9406280723474691,0.9350428725303732,0.9847688047643695,0.9756176323750207,0.9847688047643695,0.9829449128201877,8212,1039,10505,243,5,0.2601209271956424,0.18173851411681527
0.9371968598429922,0.8857571535741078,0.9775280898876404,0.9293826605195097,0.9821897262842145,0.9076576576576577,0.9434539888348641,0.9339734399291612,0.942592873772649,0.9364183246771869,0.9868449432464808,0.9795275321579676,0.9868449432464808,0.9855202695415759,8265,1066,10478,190,6,0.24160816307401878,0.17160134398661173
0.9403470173508676,0.8920319585402721,0.9771732702542874,0.932663543489304,0.9820247741454783,0.9133749133749134,0.9464566222341906,0.9370283663428751,0.9452740918146003,0.9395600828617473,0.9884229951645682,0.9823887746714243,0.9884229951645682,0.9874210247752397,8262,1000,10544,193,7,0.22628056297453203,0.16107309448753726
0.9425971298564928,0.897681506476543,0.9753991720875221,0.9349280126969731,0.9807621161672216,0.9185724185724186,0.9486491322240115,0.9392218113218823,0.9469857953299703,0.9417885724604923,0.9902679916872702,0.9858518850839434,0.9902679916872703,0.9896784348998027,8247,940,10604,208,8,0.21258760259539602,0.15068178240830876
0.9455972798639932,0.9026123073559952,0.9767001774098166,0.9381958645762327,0.9818433179723502,0.9228170478170478,0.95141555773868,0.9422278126641728,0.9497586126134322,0.9448057111574564,0.991629772883469,0.9881264917487982,0.991629772883469,0.9912301737757823,8258,891,10653,197,9,0.20121756695491302,0.14193695532935835
0.9470473523676184,0.9046837382359378,0.9777646363098759,0.9398056045017905,0.9826903600036829,0.9245495495495496,0.9527337647846463,0.9436870491198104,0.9511570929297127,0.9462696846432184,0.9925775568590471,0.9896761671002294,0.9925775568590471,0.992291391404742,8267,871,10673,188,10,0.1924874822566066,0.13674800446158009
0.9488474423721186,0.9088908450704225,0.976936723832052,0.9416861426209884,0.9821281275776739,0.9282744282744283,0.9544422177688711,0.9455094863240482,0.9526055760532401,0.9480641801949297,0.9934469530714355,0.9910843901796185,0.9934469530714356,0.9932583220443644,8260,828,10716,195,11,0.18412114159324877,0.13083318524461426
0.9496474823741187,0.9098613251155624,0.9777646363098759,0.9425916424377173,0.9827728397324292,0.9290540540540541,0.9551587478291846,0.9463170824239958,0.953409345181965,0.948875195133451,0.9939266695845644,0.9918516300707845,0.9939266695845643,0.99378769222812,8267,819,10725,188,12,0.1751663914150516,0.127138107087915
0.9521976098804941,0.9137151053734966,0.9794204612655234,0.9454275602237698,0.9840892465252378,0.9322591822591823,0.9574733096085409,0.9489021759493672,0.9558398217623528,0.9514504349161554,0.9948470111834985,0.9931517773491965,0.9948470111834985,0.9947443793174292,8281,782,10762,174,13,0.16695904446862958,0.11999536311883459
0.9536476823841192,0.9170175049855972,0.9789473684210527,0.9469709970825467,0.9837783650779185,0.9351178101178101,0.9588311053870409,0.9503979350317578,0.9570325892694314,0.9529010512347937,0.9952442673761419,0.9937312601522905,0.995244267376142,0.9951634171055304,8277,749,10795,178,14,0.16204843759566065,0.11672304016498432
0.9548977448872443,0.9175234936428966,0.9815493790656417,0.9484571428571429,0.985758626985576,0.9353776853776854,0.9599075473375411,0.9516410603142363,0.9584635322216635,0.954182345097342,0.9956321899846441,0.994243776917589,0.9956321899846441,0.9955559689123287,8299,746,10798,156,15,0.15432615134304792,0.11341027211945041
0.9561478073903695,0.9209064652299489,0.9804849201655825,0.9497622730136908,0.9849959079749022,0.9383229383229383,0.9610931192050042,0.9529511866024256,0.9594039292442604,0.9554276961093475,0.9958968396135752,0.9945919352577945,0.9958968396135752,0.9958235658809216,8290,712,10832,165,16,0.14966202321685887,0.10939042426813604
0.9573478673933696,0.9221457130164371,0.9820224719101124,0.9511426771292742,0.9861755343337881,0.9392758142758143,0.9621544877767425,0.9541606236751126,0.9606491430929633,0.9566485824530084,0.9961364084368224,0.9949169315279465,0.9961364084368223,0.9960687965526451,8303,701,10843,152,17,0.14484837037026485,0.10667821970104978
