split,variable,min,max,median
train,g,0.0010000265386045,99.9982405713839,0.318811932191623
train,k,0.0001000021022632,9.99923984297629,0.0315054914256847
train,v_Hb,1.49903478352079e-07,84477.3614103244,0.344721656825969
train,f,0.100000930694922,0.999995764584826,0.550180310988803
train,gamma,0.0010123250756834444,990.5025163588962,0.6704553295084889
train,nu_b,0.00011102094390722336,94093.46596325944,2.693015317533817
train,log_nu_b,-9.10579169060164,11.452043886002762,0.9906615017203846
val,g,0.0010007616120892,99.7935954599111,0.307344047969904
val,k,0.0001000650817106,9.99657743790751,0.032973553484293
val,v_Hb,1.71057000667691e-07,81520.7269292571,0.33268106601188
val,f,0.100011947537115,0.999951230622803,0.550740230263584
val,gamma,0.001035885543474249,895.7886245189194,0.6540322415420622
val,nu_b,0.00011005781214303385,91718.59184544922,2.641400221250219
val,log_nu_b,-9.114504765296067,11.426480384100488,0.9713091633900452
test,g,0.0010002482278305,99.9835085632994,0.305740811085924
test,k,0.0001000354175641,9.99959768511743,0.031037978008825
test,v_Hb,3.85162483210868e-07,48070.0029492288,0.342146935968454
test,f,0.100030861849764,0.999842088718619,0.548204057116495
test,gamma,0.0010405680165309849,888.8205434253844,0.6288533515515322
test,nu_b,0.0001146061489072055,97582.19329906508,2.623951860498984
test,log_nu_b,-9.074009099737296,11.488450310049641,0.9646815250671317
all,g,0.0010000265386045,99.9982405713839,0.316254949392219
all,k,0.0001000021022632,9.99959768511743,0.0316236426289825
all,v_Hb,1.49903478352079e-07,84477.3614103244,0.343163500004935
all,f,0.100000930694922,0.999995764584826,0.549999363300433
all,gamma,0.0010123250756834444,990.5025163588962,0.664477729436939
all,nu_b,0.00011005781214303385,97582.19329906508,2.678863386242028
all,log_nu_b,-9.114504765296067,11.488450310049641,0.9853925949516644
