generation,average_length,average_fitness,best_length,best_fitness,best_oob_fitness,generation_time
0,32.911,3.593859657818507,10,0.4969632386493452,nan,21.671404361724854
1,15.483,1.3893884786619128,8,0.47778058588461747,nan,9.66611123085022
2,10.947,1.2517014787216687,8,0.4648700582716098,nan,9.010935306549072
3,8.865,1.4299095941935018,9,0.4616290777088651,nan,8.07258677482605
4,9.25,1.555635156510578,24,0.45001907070372005,nan,7.7243812084198
5,12.333,1.1954210887095271,21,0.4498049959030833,nan,9.148388862609863
6,22.267,1.0958486769955957,10,0.445562251080838,nan,12.972046375274658
7,17.607,1.2898981955894597,10,0.445562251080838,nan,12.366220951080322
8,10.113,1.2873610811257445,12,0.4450313929620374,nan,7.7001330852508545
9,10.545,1.383642007702343,12,0.4450313929620374,nan,8.436319828033447
10,12.246,1.2558022054692293,13,0.4150663306158809,nan,8.858909130096436
11,12.26,1.2442137969482958,13,0.4150663306158809,nan,8.5070321559906
12,13.009,1.177458176442648,14,0.4106173921013724,nan,8.013513088226318
13,13.347,1.2200134864570975,15,0.3896908703162637,nan,8.442944049835205
14,14.081,1.0959357912833785,22,0.37854929523964964,nan,8.309616327285767
15,18.202,1.1294149921024172,23,0.3456078872385215,nan,9.291298389434814
16,22.532,0.9976295057438325,27,0.2899994809679204,nan,10.718857765197754
17,28.428,0.9348856984298254,31,0.2694193966850124,nan,11.410698413848877
18,30.921,0.9532148927525864,41,0.26342764660582196,nan,11.383425235748291
19,31.296,0.9834653626507095,41,0.25512105851864536,nan,11.343601942062378
20,40.819,0.8477560384308924,41,0.25512105851864536,nan,12.745667934417725
21,40.635,0.8837711461686278,43,0.2519026592327501,nan,12.791850090026855
22,41.305,0.9562826874786026,32,0.2455364821785338,nan,12.92910361289978
23,40.652,0.9180122293455404,43,0.2358429586504024,nan,13.458811044692993
24,34.237,1.188941452571723,43,0.2358429586504024,nan,12.349133491516113
25,43.217,0.7359610682228108,45,0.226416776364674,nan,13.216084480285645
26,45.487,0.6551753367791985,55,0.2261874656980794,nan,13.783815860748291
27,44.753,0.8086524780467095,60,0.21788055021245348,nan,13.222594738006592
28,53.989,0.7728325674031362,82,0.20922781651696623,nan,15.703060150146484
29,72.926,0.6406883821511531,107,0.199022985346554,nan,18.17448377609253
30,84.683,0.687168358112407,136,0.19801521392993018,nan,20.401767253875732
31,100.093,0.5845669471819627,82,0.19715353564540658,nan,23.366227626800537
32,78.724,0.6852402591492864,134,0.19411524473008943,nan,20.899179220199585
33,80.428,0.7892201300370177,87,0.18995678853827785,nan,22.081767082214355
34,81.977,0.6746150237140168,92,0.18791489449833723,nan,22.88298535346985
35,87.67,0.6131170965425682,165,0.18006218634997875,nan,23.842443704605103
36,89.361,0.6848436386687808,92,0.15273621845040763,nan,24.30868148803711
37,95.469,0.6743615854834677,96,0.14751536755229683,nan,25.51824688911438
38,84.92,0.7056313571580985,105,0.14459443561381022,nan,24.207691192626953
39,90.46,0.6828929633904683,99,0.13943372407987303,nan,24.95509123802185
40,92.365,0.6527710414120711,104,0.13506456121271673,nan,25.620144844055176
41,94.595,0.6295042568263021,100,0.1324449312114882,nan,25.91793727874756
42,91.189,0.6998970124909686,115,0.13072030365395199,nan,26.676231622695923
43,99.46,0.8674188550766107,101,0.1254342346957846,nan,27.723735332489014
44,100.225,0.7084459107544578,102,0.1246562398374416,nan,28.460168838500977
45,100.526,0.5439215813790961,101,0.12271599902922063,nan,31.073119401931763
46,99.91,0.6682093693872319,106,0.12270917245618897,nan,31.138898134231567
47,100.877,0.7755689047252273,102,0.1207993052285365,nan,32.2136812210083
48,95.612,0.6393515823436379,103,0.11933697100257475,nan,32.42296886444092
49,85.496,0.7210267325511986,104,0.11908539931961588,nan,31.545356035232544
50,90.917,0.6441195065658489,103,0.11768069462174892,nan,27.04356098175049
51,77.325,0.7113916653131266,105,0.11767680534791052,nan,22.639127731323242
52,71.903,0.7513000582635383,74,0.11908178822591195,nan,21.456066608428955
53,73.735,0.791121655929173,122,0.11867714519403633,nan,22.08434510231018
54,73.318,0.7694445711927017,78,0.11849098988016997,nan,23.009198665618896
55,73.731,0.6672384484495676,95,0.1142816776144697,nan,21.64189910888672
56,81.116,0.8482016079911846,95,0.11112518246846945,nan,25.409321308135986
57,87.584,0.8270575520651482,135,0.11065824501727552,nan,27.10264277458191
58,94.823,0.7320011628882191,96,0.11067301735851265,nan,27.428314208984375
59,94.854,0.7512272323429745,109,0.10884166950008016,nan,24.95552372932434
60,95.371,0.5644371141669412,152,0.10750537529108249,nan,24.93828010559082
61,106.735,0.7213722650627019,112,0.1076145053876646,nan,30.6141140460968
62,103.79,0.7134344335208695,185,0.10577938928732612,nan,27.858431100845337
63,100.351,0.6247728311613948,181,0.10637158466353931,nan,25.3468976020813
64,103.649,0.7433100364412571,115,0.10547066889263752,nan,26.60207986831665
65,107.709,0.6933677384049106,107,0.10363602235095758,nan,27.328404426574707
66,104.912,0.8270967279180604,106,0.10362868957739123,nan,26.648207902908325
67,104.977,0.6440667704338257,107,0.10340803863157189,nan,26.70527148246765
68,104.701,0.6110331745466493,121,0.10254405951539841,nan,26.085110425949097
69,106.277,0.6791006212913978,122,0.10229668977054021,nan,26.661178588867188
70,103.855,0.7762840617449819,165,0.10311590921416218,nan,26.304858207702637
71,102.522,0.7083251562771389,105,0.10339639677858918,nan,25.470006227493286
72,102.101,0.6883550086493934,101,0.10362838728683905,nan,25.455498218536377
73,101.739,0.6510101413602002,104,0.10316075665345945,nan,25.222490072250366
74,99.873,0.6984973833947661,105,0.10129193219497344,nan,25.733346462249756
75,103.57,0.7490433134342365,105,0.10129193219497344,nan,25.530881643295288
76,104.085,0.8446488671698551,167,0.10002448170869865,nan,28.160333156585693
77,103.223,0.7005962448473415,110,0.10033269067106726,nan,26.24685788154602
78,103.39,0.6719076502286203,107,0.09986028114356112,nan,30.122371196746826
79,103.359,0.6897921689764858,107,0.09986028114356112,nan,26.701181173324585
80,106.541,0.7906202392042078,183,0.09806025962107391,nan,29.029949426651
81,107.276,0.6439275961250274,183,0.09806025962107391,nan,27.37412667274475
82,105.68,0.7235380621203664,186,0.09603417359425283,nan,27.62246823310852
83,103.939,0.6921014385472686,139,0.09902628073670684,nan,29.10226535797119
84,104.764,0.7812815245678344,108,0.09828764551852824,nan,28.120933055877686
85,105.426,0.7240704590988221,108,0.09828764551852824,nan,28.092257499694824
86,106.89,0.6227105793602298,123,0.09712811183453982,nan,28.17878007888794
87,107.464,0.8058484436484684,142,0.09711008882414479,nan,29.10466480255127
